product,URL,Image,ratings,price,platform
Shalimar Zip 'N' Slider Bag Combo Pack Size (Small + Medium + Large) Zip Lock/Vegetable/Fridge/MultiPurpose Storage Bag (Pack of 45 Bags) Reusable and Reclosable with Slider Lock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NzczMDcwNTMyOTA0NDQ4OjE3Mzk5MzUxOTI6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDQxMjIyMTE3NzIzMjo6MDo6&url=%2FShalimar-Reusable-Vegetable-Multi-Purpose-Storage%2Fdp%2FB096P271BL%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.59126330-c308-4c36-a5a0-21cac002681f%253Aamzn1.sym.59126330-c308-4c36-a5a0-21cac002681f%26crid%3D1SUI70IDLFXOA%26cv_ct_cx%3Dtrending%2Bproducts%26keywords%3Dtrending%2Bproducts%26pd_rd_i%3DB096P271BL%26pd_rd_r%3Dbea10ef3-c17a-486b-8999-a889b5822c47%26pd_rd_w%3DjOcnx%26pd_rd_wg%3Dbhd7a%26pf_rd_p%3D59126330-c308-4c36-a5a0-21cac002681f%26pf_rd_r%3DE59BR0YBC2ZN5DAA2JB8%26qid%3D1739935192%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3D%252Caps%252C235%26sr%3D1-97-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26xpid%3DzoZVSXJSeGEYl%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,https://m.media-amazon.com/images/I/91yre00HDBL._AC_UL320_.jpg,4.3,7.98,AMAZON
Amazon Brand - Presto! Non-Woven Kitchen Towel Roll | 160 Pulls | Blue & Red Kitchen Cloth | 80 Pulls x 2 Rolls | Food Safe | Lint-free and Residue-Free | Washable and Reusable | Highly Absorbent,,https://m.media-amazon.com/images/I/91p2A+PmPVL._AC_UL320_.jpg,4.4,2.12,AMAZON
"Emergity Plastic Manual Vegetable Chopper for Kitchen, Vegetable Cutter for Kitchen, Onion Cutter, Onion Chopper (Multi Colour) (750 ml)",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NzczMDcwNTMyOTA0NDQ4OjE3Mzk5MzUxOTI6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDEzNDc4MDUwNjUzMjo6Mjo6&url=%2FEmergity-Plastic-Vegetable-Chopper-Kitchen%2Fdp%2FB0CVXSKG5D%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.59126330-c308-4c36-a5a0-21cac002681f%253Aamzn1.sym.59126330-c308-4c36-a5a0-21cac002681f%26crid%3D1SUI70IDLFXOA%26cv_ct_cx%3Dtrending%2Bproducts%26keywords%3Dtrending%2Bproducts%26pd_rd_i%3DB0CVXSKG5D%26pd_rd_r%3Dbea10ef3-c17a-486b-8999-a889b5822c47%26pd_rd_w%3DjOcnx%26pd_rd_wg%3Dbhd7a%26pf_rd_p%3D59126330-c308-4c36-a5a0-21cac002681f%26pf_rd_r%3DE59BR0YBC2ZN5DAA2JB8%26qid%3D1739935192%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3D%252Caps%252C235%26sr%3D1-99-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26xpid%3DzoZVSXJSeGEYl%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1%26smid%3DA8S7XU55C2OEM,https://m.media-amazon.com/images/I/61sJIlUH5RL._AC_UL320_.jpg,4.2,600,AMAZON
"TEKCOOL Anti Fatigue Kitchen Rug Sets 2 Piece Non Slip Kitchen Mats for Floor Cushioned Kitchen Rugs & Mats Waterproof Comfort Standing Mat Runner for Kitchen,Home Office,Sink,Laundry(Line MAT) Rubber",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NzczMDcwNTMyOTA0NDQ4OjE3Mzk5MzUxOTI6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDQxNDMyODY0ODczMjo6Mzo6&url=%2FTEKCOOL-Cushioned-Waterproof-Standing-Line%2Fdp%2FB0DJP95C74%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.59126330-c308-4c36-a5a0-21cac002681f%253Aamzn1.sym.59126330-c308-4c36-a5a0-21cac002681f%26crid%3D1SUI70IDLFXOA%26cv_ct_cx%3Dtrending%2Bproducts%26keywords%3Dtrending%2Bproducts%26pd_rd_i%3DB0DJP95C74%26pd_rd_r%3Dbea10ef3-c17a-486b-8999-a889b5822c47%26pd_rd_w%3DjOcnx%26pd_rd_wg%3Dbhd7a%26pf_rd_p%3D59126330-c308-4c36-a5a0-21cac002681f%26pf_rd_r%3DE59BR0YBC2ZN5DAA2JB8%26qid%3D1739935192%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3D%252Caps%252C235%26sr%3D1-100-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26xpid%3DzoZVSXJSeGEYl%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,https://m.media-amazon.com/images/I/61zk2PLVx3L._AC_UL320_.jpg,4.5,999,AMAZON
"FnS RAGA 24 Karat Gold Plated 18 Pcs Cutlery Set with Leatherette Box (6 Pc Dinner Spoons, 6 Pc Dinner Fork, 6 Pc Tea Spoons)",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NzczMDcwNTMyOTA0NDQ4OjE3Mzk5MzUxOTI6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDA0MzcyODEwNjgzMjo6NDo6&url=%2FFNS-International-Cutlery-Karat-Plated%2Fdp%2FB07YX4PWZB%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.59126330-c308-4c36-a5a0-21cac002681f%253Aamzn1.sym.59126330-c308-4c36-a5a0-21cac002681f%26crid%3D1SUI70IDLFXOA%26cv_ct_cx%3Dtrending%2Bproducts%26keywords%3Dtrending%2Bproducts%26pd_rd_i%3DB07YX4PWZB%26pd_rd_r%3Dbea10ef3-c17a-486b-8999-a889b5822c47%26pd_rd_w%3DjOcnx%26pd_rd_wg%3Dbhd7a%26pf_rd_p%3D59126330-c308-4c36-a5a0-21cac002681f%26pf_rd_r%3DE59BR0YBC2ZN5DAA2JB8%26qid%3D1739935192%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3D%252Caps%252C235%26sr%3D1-101-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26xpid%3DzoZVSXJSeGEYl%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,https://m.media-amazon.com/images/I/61dVZ7pU4gL._AC_UL320_.jpg,4.4,80.33,AMAZON
Pure & Natural Multani Mitti Powder| Bentonite Clay | G...,https://www.flipkart.com/trivang-pure-natural-multani-mitti-powder-bentonite-clay-great-hair-face-skin/p/itm80cb62200caf4?pid=FCPH2FB8APYUXMTV&lid=LSTFCPH2FB8APYUXMTVSKITZL&marketplace=FLIPKART&q=trending+products&store=search.flipkart.com&srno=s_1_1&otracker=search&otracker1=search&iid=en__mHq-eTxqvpo9GDWgbTqX8lwncriYqC5N7iHVhB93ZXfQ4v8AWHM9NLuTYPozuutmLHl0E5vj6ZLXJAj1WQa4w%3D%3D&ssid=yht9umx9680000001739935603895&qH=1922efd05ad75654,https://rukminim2.flixcart.com/image/612/612/xif0q/face-pack/b/i/d/100-pure-natural-multani-mitti-powder-bentonite-clay-great-for-original-imah5zec4efggcgn.jpeg?q=70,3.8,399,FLIPKART
Ultimate Hold Hair Styling Gel for Men Hair Styler,https://www.flipkart.com/set-wet-ultimate-hold-hair-styling-gel-men/p/itm333492b5b9f26?pid=HSYFGXQN2SRRMCMG&lid=LSTHSYFGXQN2SRRMCMGXH1OHU&marketplace=FLIPKART&q=trending+products&store=search.flipkart.com&srno=s_1_2&otracker=search&otracker1=search&iid=en__mHq-eTxqvpo9GDWgbTqX8lwncriYqC5N7iHVhB93ZVKSfU7MJIOX9hxBPsigftPP5uJaTY8xUKXf3-ejxr6LvUFjCTyOHoHZs-Z5_PS_w0%3D&ssid=yht9umx9680000001739935603895&qH=1922efd05ad75654,https://rukminim2.flixcart.com/image/612/612/xif0q/hair-styling/1/t/z/-original-imagnwz4h5wnx2yu.jpeg?q=70,3.8,450,FLIPKART
Anti-Dandruff Shampoo - Upto 100% Dandruff Reduction wi...,https://www.flipkart.com/bare-anatomy-anti-dandruff-shampoo-upto-100-dandruff-reduction-salicylic-acid-biotin/p/itmac8e1aac3e78f?pid=SMPGWU5ZTRVGZ4PC&lid=LSTSMPGWU5ZTRVGZ4PCPHSWOG&marketplace=FLIPKART&q=trending+products&store=search.flipkart.com&spotlightTagId=BestsellerId_search.flipkart.com&srno=s_1_3&otracker=search&otracker1=search&iid=a8a9ea18-ef1a-4843-af7f-d3511647878d.SMPGWU5ZTRVGZ4PC.SEARCH&ssid=yht9umx9680000001739935603895&qH=1922efd05ad75654,https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-shampoo/8/w/n/100-anti-dandruff-shampoo-upto-100-dandruff-reduction-with-original-imah4gczqjdmggf7.jpeg?q=70,3.8,349,FLIPKART
Others Sports Sunglasses (Free Size),https://www.flipkart.com/moon-mama-sports-sunglasses/p/itm9fe4db6a74a08?pid=SGLH8ZQNFGTVW3ZC&lid=LSTSGLH8ZQNFGTVW3ZCUNZD5L&marketplace=FLIPKART&q=trending+products&store=search.flipkart.com&srno=s_1_4&otracker=search&otracker1=search&iid=a8a9ea18-ef1a-4843-af7f-d3511647878d.SGLH8ZQNFGTVW3ZC.SEARCH&ssid=yht9umx9680000001739935603895&qH=1922efd05ad75654,https://rukminim2.flixcart.com/image/612/612/xif0q/sunglass/d/s/b/this-product-is-sold-as-free-size-by-the-brand-sg-sports-glasses-original-imah8zqkjv7jmfqg.jpeg?q=70,3.8,950,FLIPKART
Women Slim High Rise Blue Jeans,https://www.flipkart.com/evyavan-enterprise-slim-women-blue-jeans/p/itm44e7e78a0b8e1?pid=JEAH3ZTH2AGQJ4J7&lid=LSTJEAH3ZTH2AGQJ4J7KLFG6V&marketplace=FLIPKART&q=trending+products&store=search.flipkart.com&srno=s_1_5&otracker=search&otracker1=search&iid=a8a9ea18-ef1a-4843-af7f-d3511647878d.JEAH3ZTH2AGQJ4J7.SEARCH&ssid=yht9umx9680000001739935603895&qH=1922efd05ad75654,https://rukminim2.flixcart.com/image/612/612/xif0q/jean/x/f/y/38-na-evyavan-enterprise-original-imah4y4cztpxhxjd.jpeg?q=70,3.8,"1,499",FLIPKART
